ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2015,1,Dhirendra Pratap Singh Alias Rinku Singh,66860,36.20%,Independent,Valmiki Nagar,1,36.20
2015,2,Irshad Hussain,33280,18.00%,Indian National Congress,Valmiki Nagar,1,18.00
2015,3,Surendra Prasad,32855,17.80%,Rashtriya Lok Samta Party,Valmiki Nagar,1,17.80
2015,4,Rajesh Singh,11472,6.20%,Samajwadi Party,Valmiki Nagar,1,6.20
2015,5,Altaf Hussain,11097,6.00%,Bahujan Samaj Party,Valmiki Nagar,1,6.00
2015,6,Dip Narayan Mahato,8355,4.50%,Independent,Valmiki Nagar,1,4.50
2015,7,Shyam Narayan Prasad,3196,1.70%,Independent,Valmiki Nagar,1,1.70
2015,8,Virendra Yadav,2477,1.30%,Independent,Valmiki Nagar,1,1.30
2015,9,Surendra Singh,2037,1.10%,Independent,Valmiki Nagar,1,1.10
2015,10,Mahanth Chaudhary,1973,1.10%,Sarvajan Kalyan Loktantrik Party,Valmiki Nagar,1,1.10
2015,11,Dhananjay Pandey,1826,1.00%,Shiv Sena,Valmiki Nagar,1,1.00
2015,12,Vishnudeo Prasad Yadav,1466,0.80%,Communist Party Of India (Marxist-Leninist) (Liberation),Valmiki Nagar,1,0.80
2015,13,Rajesh Kumar Kewat,1173,0.60%,Garib Janta Dal (Secular),Valmiki Nagar,1,0.60
2015,1,Bhagirathi Devi,82166,48.10%,Bharatiya Janta Party,Ramnagar,2,48.10
2015,2,Purnmasi Ram,64178,37.50%,Indian National Congress,Ramnagar,2,37.50
2015,3,Subodh Kumar,9488,5.60%,Nationalist Congress Party,Ramnagar,2,5.60
2015,4,Ramkeshwar Ram,3158,1.90%,Communist Party Of India (Marxist-Leninist) (Liberation),Ramnagar,2,1.90
2015,5,Manjay Lal Satyam,2769,1.60%,Independent,Ramnagar,2,1.60
2015,6,Naresh Ram,2531,1.50%,Bahujan Samaj Party,Ramnagar,2,1.50
2015,7,Shankar Musahar,1363,0.80%,Independent,Ramnagar,2,0.80
2015,8,Vishal Kumar Pashwan,1279,0.80%,Independent,Ramnagar,2,0.80
2015,9,Uday Ram,870,0.50%,Jan Adhikar Party (Loktantrik),Ramnagar,2,0.50
2015,1,Vinay Varma,57212,37.30%,Indian National Congress,Narkatiaganj,3,37.30
2015,2,Renu Devi,41151,26.80%,Bharatiya Janta Party,Narkatiaganj,3,26.80
